aiddata_id,year,donor,recipient,commitment_amount_usd_constant,coalesced_purpose_code,coalesced_purpose_name
94633693,2010,Australia,"Africa, regional",1549340,15150,Democratic participation and civil society
94807926,2010,Australia,Myanmar,479557,13040,Std control including hiv/aids
94677860,2010,Australia,"Bilateral, unspecified",455694,41010,Environmental policy and admin. mgmt
94831299,2010,Australia,"Oceania, regional",12431600,11420,Higher education
94807485,2010,Australia,Myanmar,664378,14030,Basic drinking water supply and basic sanitation
94901547,2010,Australia,Solomon Islands,59022.4,43040,Rural development
94623588,2010,Australia,Fiji,627112,16010,Social/welfare services
94680035,2010,Australia,"Bilateral, unspecified",88533.5,25010,Business support services & institutions
94890981,2010,Australia,Samoa,0.00737779,15150,Democratic participation and civil society
94793795,2010,Australia,Lebanon,737779,73010,Reconstruction relief
94683618,2010,Australia,"Bilateral, unspecified",0.00737779,72010,Emergency/distress relief
94699761,2010,Australia,"Bilateral, unspecified",1696890,15220,"Civilian peace-building, conflict prevention and resolution"
94657088,2010,Australia,"Bilateral, unspecified",6745.29,15220,"Civilian peace-building, conflict prevention and resolution"
94778247,2010,Australia,Iraq,6771570,73010,Reconstruction relief
96227583,2010,Japan,Pakistan,39750100,14021,Water supply - large systems
94855165,2010,Australia,Papua New Guinea,1395980,22030,Radio/television/print media
94876577,2010,Australia,Philippines,737779,11220,Primary education
94947516,2010,Australia,Vanuatu,388865,21020,Road transport
94669378,2010,Australia,"Bilateral, unspecified",258223,72010,Emergency/distress relief
94695085,2010,Australia,"Bilateral, unspecified",2213340,15150,Democratic participation and civil society
94792515,2010,Australia,Laos,2213340,23081,Energy education/training
95928776,2010,Sweden,Liberia,8035370,25010,Business support services & institutions
94877729,2010,Australia,Philippines,178976,43010,Multisector aid
94626661,2010,Australia,Afghanistan,221334,74010,Disaster prevention and preparedness
95883707,2010,Sweden,"Africa, regional",1347870,15110,Public sector policy and adm. management
94701315,2010,Australia,"Bilateral, unspecified",44266800,72010,Emergency/distress relief
94829240,2010,Australia,"Oceania, regional",142343,12110,Health policy & admin. management
94681170,2010,Australia,"Bilateral, unspecified",40577.9,15110,Public sector policy and adm. management
96234732,2010,Japan,Peru,10908400,74010,Disaster prevention and preparedness
94906780,2010,Australia,Solomon Islands,3054.41,15220,"Civilian peace-building, conflict prevention and resolution"
94784985,2010,Australia,Kiribati,1032.89,43081,Multisector education/training
94733743,2010,Australia,Fiji,950642,43010,Multisector aid
94649587,2010,Australia,"Bilateral, unspecified",302037,13040,Std control including hiv/aids
94779277,2010,Australia,Iraq,56752.2,73010,Reconstruction relief
96255197,2010,Japan,Tanzania,522511,41030,Bio-diversity
94855576,2010,Australia,Papua New Guinea,2213340,43010,Multisector aid
97260367,2010,Japan,Kenya,120363000,31140,Agricultural water resources
94756631,2010,Australia,Indonesia,553335,12110,Health policy & admin. management
94683009,2010,Australia,"Bilateral, unspecified",36889,73010,Reconstruction relief
94684657,2010,Australia,Iraq,2065780,31120,Agricultural development
94763179,2010,Australia,Indonesia,287734,43040,Rural development
94716073,2010,Australia,China,88533.5,12110,Health policy & admin. management
97446982,2010,Japan,Tanzania,77656700,21020,Road transport
94932169,2010,Australia,Timor-Leste,396716,15220,"Civilian peace-building, conflict prevention and resolution"
94701167,2010,Australia,"Bilateral, unspecified",221334,15110,Public sector policy and adm. management
94910954,2010,Australia,Solomon Islands,37888.7,14030,Basic drinking water supply and basic sanitation
96143757,2010,Japan,Costa Rica,448334,16061,Culture and recreation
96192279,2010,Japan,Kenya,10253900,72040,Emergency food aid
94952542,2010,Australia,Viet Nam,4426680,12220,Basic health care
94881179,2010,Australia,Philippines,73777.9,21010,Transport policy & admin. management
94807042,2010,Australia,Myanmar,1381320,14030,Basic drinking water supply and basic sanitation
94946017,2010,Australia,Vanuatu,561932,11420,Higher education
94751916,2010,Australia,Indonesia,112142,43040,Rural development
94745413,2010,Australia,Indonesia,1782070,15130,Legal and judicial development
94707064,2010,Australia,Cambodia,14084.9,31110,Agricultural policy & admin. mgmt
94781130,2010,Australia,Kenya,7377.79,43010,Multisector aid
94802581,2010,Australia,Mongolia,368890,72010,Emergency/distress relief
94931199,2010,Australia,Timor-Leste,114581,51010,General budget support
94834027,2010,Australia,"Oceania, regional",44266.8,15130,Legal and judicial development
94770084,2010,Australia,Indonesia,1062.4,13040,Std control including hiv/aids
94934837,2010,Australia,Timor-Leste,634835,31120,Agricultural development
94911205,2010,Australia,Solomon Islands,2213340,11220,Primary education
94802875,2010,Australia,Mozambique,32564.1,13040,Std control including hiv/aids
94846507,2010,Australia,Papua New Guinea,221334,74010,Disaster prevention and preparedness
94962670,2010,Australia,Zimbabwe,32814.2,13040,Std control including hiv/aids
94722645,2010,Australia,China,350445,15110,Public sector policy and adm. management
97332235,2010,Japan,Mauritius,68733600,14022,Sanitation - large systems
94803604,2010,Australia,Mozambique,5828.46,15150,Democratic participation and civil society
94658152,2010,Australia,"Bilateral, unspecified",221334,15250,Land mine clearance
94848977,2010,Australia,Papua New Guinea,664002,24030,Formal sector financ. intermediaries
94861930,2010,Australia,Papua New Guinea,84240.9,11430,Advanced tech. & managerial training
96142356,2010,Japan,"Congo, Dem. Rep.",36564900,21020,Road transport
94844167,2010,Australia,Papua New Guinea,1601.8,43010,Multisector aid
94836347,2010,Australia,Pakistan,9198630,11220,Primary education
94669253,2010,Australia,"Bilateral, unspecified",221334,72010,Emergency/distress relief
95926051,2010,Sweden,Kenya,518411,43030,Urban development and management
94757590,2010,Australia,Indonesia,959113,11110,Education policy & admin. management
94949876,2010,Australia,Viet Nam,30985600,43081,Multisector education/training
94766411,2010,Australia,Indonesia,479557,21020,Road transport
94626500,2010,Australia,Afghanistan,922224,15151,Elections
94751021,2010,Australia,Indonesia,40577.9,11220,Primary education
94668926,2010,Australia,"Bilateral, unspecified",368890,33120,Trade facilitation
94750177,2010,Australia,Indonesia,14438900,41010,Environmental policy and admin. mgmt
94768922,2010,Australia,Indonesia,147556,51010,General budget support
94794199,2010,Australia,Malawi,90839.8,15110,Public sector policy and adm. management
94842948,2010,Australia,Pakistan,9867.25,15111,Public finance management
94916354,2010,Australia,"South of Sahara, regional",112204,43010,Multisector aid
94963382,2010,Australia,Zimbabwe,110667,15111,Public finance management
94733859,2010,Australia,Fiji,682036,43081,Multisector education/training
94653289,2010,Australia,"Bilateral, unspecified",3688.9,24010,Financial policy & admin. management
94854887,2010,Australia,Papua New Guinea,1971700,15150,Democratic participation and civil society
97513390,2010,Japan,Uganda,100335000,21020,Road transport
94856557,2010,Australia,Papua New Guinea,1001130,12250,Infectious disease control
94837287,2010,Australia,Pakistan,2213340,72010,Emergency/distress relief
94917720,2010,Australia,"South of Sahara, regional",73777.9,13020,Reproductive health care
94649441,2010,Australia,"Bilateral, unspecified",1328000,73010,Reconstruction relief
94945728,2010,Australia,Vanuatu,814200,12220,Basic health care
94650690,2010,Australia,"Bilateral, unspecified",176503,43082,Research/scientific institutions
94802326,2010,Australia,Mongolia,136532,11420,Higher education
94894812,2010,Australia,Solomon Islands,368890,21020,Road transport
97351412,2010,Japan,Mongolia,51814800,32130,Sme development
94814329,2010,Australia,"Oceania, regional",4426.68,15220,"Civilian peace-building, conflict prevention and resolution"
94856703,2010,Australia,Papua New Guinea,1032890,11430,Advanced tech. & managerial training
94725494,2010,Australia,"Far East Asia, regional",7063.5,12110,Health policy & admin. management
94784002,2010,Australia,Kiribati,369259,11220,Primary education
94851130,2010,Australia,Papua New Guinea,682446,74010,Disaster prevention and preparedness
94661357,2010,Australia,"Bilateral, unspecified",25822300,43081,Multisector education/training
94833303,2010,Australia,"Oceania, regional",1496520,11330,Vocational training
94814878,2010,Australia,"Oceania, regional",18444.5,43010,Multisector aid
94635243,2010,Australia,"Africa, regional",221334,15160,Human rights
